,I do well at solving jigsaw puzzles or Sudoku,"If presented with a difficult logic problem, I am confident I could figure out the answer",I am good at doing simple math in my head,I enjoy applying abstract concepts to solve difficult puzzles,"When I go shopping, I can determine what the total cost will be before I get to the cash register",I sometimes use math to solve my everyday problems,I think that most things that happen in the world can be explained using probability and statistics,I was better than most of my graduating class at mathematics,I am good at solving problems that use algebra or geometry,I am quick at interpreting and understanding symbols,I am good at managing my money – I can stick to a budget and keep track of my spending,Information that I see in a graph is easier to understand and interpret than just numbers,Writing down my ideas helps me work through them and develop stronger convictions about what I believe,I feel like I understand something more clearly when I organize my thoughts on paper,I enjoy reading on my own for fun when I have spare time,My teachers in high school would describe me as a strong writer,I have a strong vocabulary and good understanding of English,I do not have trouble understanding concepts just by reading about them in a book,I make clear and concise arguments when engaging in debates or conversation,I spend six or more hours per week reading books,"If I had to build a new piece of furniture, for help I would want",I prefer to spend time pursuing my own interests instead of hanging out with friends,"When I have a creative new idea, I often pursue it until it is realized",Making money is not as important in my career than expressing myself as a person,I love showing off my talents for others – I am a natural performer,"I like to be behind the scenes, pulling the strings while others get the glory",I enjoy the feeling and experience of creating something brand new,"I get along well with my peers, people who just meet me tend to like me right away",I feel comfortable interacting with strangers in a casual setting,"I do not speak much at first when meeting new people, but show more of my personality as time goes on",I do well in group work activities and help coordinate my team-mates towards completing a task,I do well in leadership roles where I am directing or helping others,"I am willing to voice my opinions, even when others seem to disagree with me",I prefer working in teams to working alone,I learn best when I can discuss ideas and concepts with others,I am a reserved and quiet person,I would rather work independently than in a group setting,I am easily embarrassed when I feel others are judging me,I am good at multi-tasking and can work effectively when distractions are present,I prefer to study with a group of friends,I do not like doing things the traditional or conventional way,I enjoy the thrill and excitement of discovering something new,I sometimes catch myself drifting into a daydream,I sometimes wonder about the true meaning of life,I find philosophical arguments boring or pointless,I can usually build something just by studying a picture or diagram of it,I do not have a hard time visualizing a 3D object just by seeing a drawing or image of it,I have a strong photographic memory – I can easily remember how something looks after just seeing it once or twice,I sometimes include drawings or diagrams in my class notes,I tend to forget much of what I hear in classes or in a lecture,I prefer to learn by doing something rather than by reading or listening,I like being active,"I can remember specific details of problems that I recently solved, such as numbers, words or dates",I talk to myself frequently when I am engaged with a difficult task,"I have a great memory for conversations, I learn well by discussing concepts with other people",I am good at explaining things in a clear and linear way,"If I need to give someone directions, I will",I am good at working with abstract concepts like numbers and symbols,I am good at analyzing evidence and coming to a conclusion,I like looking through a set of data and finding patterns,I use the following technique when figuring out how to spell a word
Business - Accounting,Disagree,Sometimes,Agree,Disagree,Strongly Agree,Agree,Sometimes,Sometimes,Agree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Agree,Agree,Sometimes,Agree,Drawn diagrams of the assembly in progress so I could follow along,Strongly Agree,Sometimes,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Sometimes,Strongly Agree,Sometimes,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Sometimes,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Sometimes,Sometimes,Draw them a map to follow,Sometimes,Agree,Agree,I think about the structure of the word and how it sounds to determine how to spell it
Business Administration (Co-op Option),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Drawn diagrams of the assembly in progress so I could follow along,Agree,Sometimes,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Sometimes,Agree,Disagree,Sometimes,Sometimes,Sometimes,Disagree,Strongly Disagree,,Write directions down for them on a piece of paper,Strongly Agree,Agree,Strongly Agree,I think about the structure of the word and how it sounds to determine how to spell it
Business - Accounting,Agree,Sometimes,Strongly Agree,Disagree,Strongly Agree,Sometimes,Disagree,Disagree,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Agree,Sometimes,,A picture of the finished item that I could imitate,Agree,Agree,Strongly Agree,,Sometimes,Strongly Agree,Sometimes,Strongly Agree,Sometimes,Sometimes,Sometimes,Disagree,,Sometimes,Sometimes,Agree,Sometimes,Agree,,Sometimes,Sometimes,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Agree,Disagree,Sometimes,Disagree,Draw them a map to follow,Disagree,Agree,Sometimes,I imagine the word in my head and see how it looks
Business - Accounting,Agree,Agree,Agree,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Sometimes,Sometimes,Agree,Agree,Strongly Agree,Write instructions on how to assemble the object,Sometimes,Sometimes,Sometimes,Agree,Agree,Sometimes,Agree,Sometimes,Agree,Agree,Sometimes,Sometimes,Sometimes,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Disagree,Sometimes,Sometimes,Agree,Sometimes,Strongly Disagree,Sometimes,Sometimes,Sometimes,Agree,Disagree,Sometimes,Agree,Give them verbal directions,Sometimes,Agree,Agree,I memorize the spelling of words
Business - Accounting,Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Agree,Disagree,Strongly Agree,Sometimes,Agree,Sometimes,Sometimes,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Sometimes,Disagree,Agree,Sometimes,,Sometimes,Agree,Strongly Agree,Disagree,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Sometimes,Sometimes,,Strongly Disagree,Sometimes,Agree,,,Strongly Agree,Strongly Agree,Sometimes,Disagree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,,,Agree,Strongly Agree,Sometimes,Sometimes,Agree,,Strongly Agree,Agree,Strongly Agree,I imagine the word in my head and see how it looks
Business Administration (Co-op Option),,Agree,Sometimes,Strongly Disagree,Agree,Agree,,,Agree,Agree,Strongly Agree,,,,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Sometimes,Drawn diagrams of the assembly in progress so I could follow along,Strongly Agree,Sometimes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Strongly Agree,Sometimes,Agree,Strongly Agree,Sometimes,Sometimes,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Sometimes,Strongly Disagree,Strongly Agree,Strongly Agree,Sometimes,Agree,,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Draw them a map to follow,Agree,Agree,Agree,I write it down two different ways and see which one looks right
Business - Accounting,Sometimes,Sometimes,Strongly Agree,Sometimes,Agree,Sometimes,Agree,Agree,Sometimes,Agree,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Sometimes,Disagree,Disagree,Drawn diagrams of the assembly in progress so I could follow along,Sometimes,Sometimes,Sometimes,Disagree,Disagree,Agree,Sometimes,Disagree,Sometimes,Strongly Agree,Sometimes,Disagree,Sometimes,Agree,Agree,Disagree,Sometimes,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Disagree,Sometimes,Write directions down for them on a piece of paper,Disagree,Agree,Agree,I memorize the spelling of words
Business - Accounting,Strongly Agree,Sometimes,Agree,Agree,Strongly Agree,Sometimes,Disagree,Sometimes,Sometimes,Sometimes,Agree,Sometimes,Agree,Strongly Agree,Sometimes,Disagree,Disagree,Disagree,Sometimes,,Write instructions on how to assemble the object,Sometimes,Agree,Sometimes,Disagree,,Agree,Agree,Sometimes,Agree,Sometimes,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Sometimes,Strongly Agree,,Agree,Sometimes,Agree,Sometimes,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Sometimes,Give them verbal directions,Agree,Sometimes,Sometimes,I think about the structure of the word and how it sounds to determine how to spell it
Business - Accounting,Strongly Disagree,Strongly Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Strongly Disagree,Sometimes,Sometimes,Strongly Disagree,A picture of the finished item that I could imitate,Strongly Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Strongly Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Draw them a map to follow,Sometimes,Sometimes,Sometimes,I imagine the word in my head and see how it looks
Business Administration (Co-op Option),Agree,Sometimes,Disagree,,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Agree,Sometimes,Strongly Disagree,Strongly Agree,Write instructions on how to assemble the object,Sometimes,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Disagree,,Agree,Sometimes,Sometimes,Sometimes,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Strongly Disagree,Give them verbal directions,Disagree,Agree,Agree,I write it down two different ways and see which one looks right
Business - Accounting,,Sometimes,Disagree,,Sometimes,,Sometimes,Disagree,Disagree,Sometimes,,Disagree,Sometimes,Agree,Disagree,,Agree,Disagree,Sometimes,Sometimes,A picture of the finished item that I could imitate,Strongly Agree,Disagree,Sometimes,,Agree,Disagree,Strongly Agree,Agree,Sometimes,Strongly Agree,Agree,Sometimes,Disagree,,Disagree,Sometimes,Sometimes,Disagree,Sometimes,,Disagree,Agree,Strongly Agree,Disagree,Sometimes,Disagree,,Disagree,Sometimes,Agree,Disagree,Sometimes,Disagree,Sometimes,Agree,Write directions down for them on a piece of paper,Sometimes,Disagree,Sometimes,I write it down two different ways and see which one looks right
Business - Accounting,Sometimes,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Sometimes,Sometimes,Sometimes,Disagree,Disagree,Sometimes,Agree,Strongly Agree,Agree,Sometimes,Disagree,Sometimes,Disagree,Disagree,Write instructions on how to assemble the object,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Sometimes,Sometimes,Disagree,Agree,Disagree,Agree,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Sometimes,Sometimes,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Agree,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Disagree,Give them verbal directions,Sometimes,Strongly Disagree,Strongly Agree,I think about the structure of the word and how it sounds to determine how to spell it
Business - Accounting,,Agree,Strongly Agree,Sometimes,Agree,Strongly Agree,Sometimes,Strongly Agree,Agree,Agree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Write instructions on how to assemble the object,Agree,Sometimes,Sometimes,Sometimes,,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Sometimes,Sometimes,,Strongly Agree,Sometimes,,Strongly Agree,Sometimes,Disagree,Sometimes,Sometimes,,Sometimes,Sometimes,,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Strongly Agree,,Agree,Strongly Agree,Agree,
Business - Accounting,Sometimes,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Agree,Agree,Sometimes,Strongly Disagree,Drawn diagrams of the assembly in progress so I could follow along,Strongly Agree,Agree,Strongly Disagree,Disagree,Sometimes,Agree,Agree,Sometimes,Agree,Agree,Sometimes,Disagree,Agree,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Sometimes,Sometimes,Agree,Agree,Sometimes,Disagree,Strongly Disagree,Sometimes,Agree,Sometimes,Sometimes,Sometimes,Agree,Strongly Agree,Sometimes,Agree,Agree,Sometimes,Give them verbal directions,Sometimes,Agree,Sometimes,I think about the structure of the word and how it sounds to determine how to spell it
Business Administration (Co-op Option),Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Sometimes,Sometimes,Strongly Agree,Sometimes,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Agree,Agree,Agree,Strongly Agree,A picture of the finished item that I could imitate,Sometimes,Agree,Sometimes,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Describe landmarks around the place they are trying to go to,Strongly Agree,Disagree,Strongly Agree,I imagine the word in my head and see how it looks
Business - Accounting,Agree,Sometimes,Agree,Disagree,Sometimes,Sometimes,,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,,Drawn diagrams of the assembly in progress so I could follow along,Strongly Agree,Sometimes,Sometimes,Disagree,Sometimes,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Sometimes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Sometimes,Strongly Agree,Disagree,Strongly Agree,Sometimes,Strongly Agree,Sometimes,Sometimes,Disagree,Sometimes,Disagree,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Draw them a map to follow,Agree,Sometimes,Strongly Agree,I write it down two different ways and see which one looks right
Business - Accounting,Sometimes,Agree,Strongly Agree,Agree,,Agree,,Sometimes,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,,Write instructions on how to assemble the object,,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Sometimes,Agree,Strongly Agree,Sometimes,Agree,Agree,Agree,Sometimes,Agree,Sometimes,Sometimes,Sometimes,Agree,Sometimes,Sometimes,Agree,Disagree,Sometimes,Strongly Disagree,Sometimes,,Sometimes,Disagree,Sometimes,,Agree,,,,,,,,,
Business Administration (Co-op Option),Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Write instructions on how to assemble the object,Agree,Sometimes,Agree,Strongly Agree,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Strongly Disagree,Sometimes,Strongly Disagree,Agree,Sometimes,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Describe landmarks around the place they are trying to go to,Strongly Agree,Strongly Agree,Strongly Agree,I think about the structure of the word and how it sounds to determine how to spell it
Business - Accounting,,Sometimes,Sometimes,,Disagree,Sometimes,,,Sometimes,Sometimes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,Disagree,Sometimes,Sometimes,Sometimes,,Someone good at assembling the object to explain it to me,Disagree,Sometimes,Disagree,Sometimes,Sometimes,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Strongly Agree,Sometimes,Strongly Agree,,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Sometimes,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Give them verbal directions,Sometimes,Sometimes,Sometimes,I memorize the spelling of words
Business - Accounting,Strongly Disagree,Sometimes,Strongly Agree,,Sometimes,Sometimes,Sometimes,Strongly Agree,,Agree,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Sometimes,Agree,Sometimes,Disagree,Drawn diagrams of the assembly in progress so I could follow along,Sometimes,Disagree,Disagree,Disagree,Sometimes,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Disagree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Agree,Disagree,Sometimes,Sometimes,Disagree,Disagree,Sometimes,Agree,Sometimes,Disagree,Sometimes,Sometimes,Disagree,Walk or drive them to the place they want to go,Sometimes,Strongly Agree,Sometimes,I write it down two different ways and see which one looks right
Business - Accounting,Agree,Sometimes,Strongly Agree,Sometimes,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Disagree,Disagree,Write instructions on how to assemble the object,Agree,,Disagree,,Agree,Sometimes,Sometimes,Disagree,Agree,Sometimes,Disagree,Disagree,,Sometimes,Strongly Agree,Strongly Agree,Agree,Sometimes,Disagree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Disagree,,Disagree,Sometimes,Sometimes,Sometimes,,Disagree,Sometimes,Give them verbal directions,Sometimes,Agree,Agree,I memorize the spelling of words
Business Administration (Co-op Option),Strongly Disagree,Agree,Disagree,Sometimes,Strongly Agree,Strongly Agree,Disagree,Sometimes,Strongly Agree,Sometimes,Agree,Agree,Sometimes,Agree,Strongly Agree,Agree,Sometimes,Agree,Disagree,Agree,Someone good at assembling the object to explain it to me,Sometimes,Sometimes,Agree,Strongly Agree,Agree,Agree,Sometimes,Agree,Agree,Sometimes,Agree,Strongly Agree,Agree,Agree,Sometimes,Agree,Agree,Agree,Agree,Disagree,Sometimes,Agree,Agree,Agree,Agree,Agree,Sometimes,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Walk or drive them to the place they want to go,Agree,Disagree,Agree,I write it down two different ways and see which one looks right
Business - Accounting,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Sometimes,Agree,Drawn diagrams of the assembly in progress so I could follow along,Agree,Agree,Sometimes,Disagree,Agree,Agree,Sometimes,Disagree,Agree,Sometimes,Agree,Agree,Disagree,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Sometimes,Agree,Agree,Agree,Strongly Agree,Draw them a map to follow,Strongly Agree,Agree,Agree,I think about the structure of the word and how it sounds to determine how to spell it
Business - Accounting,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Sometimes,Sometimes,Agree,Agree,Strongly Agree,Agree,Sometimes,Sometimes,,,Sometimes,Agree,Agree,Strongly Agree,Disagree,,Sometimes,Sometimes,Sometimes,Disagree,Sometimes,Sometimes,Strongly Agree,Sometimes,Agree,Sometimes,Agree,Agree,Sometimes,Sometimes,Strongly Agree,Sometimes,Disagree,Sometimes,Sometimes,,Agree,Sometimes,Sometimes,Disagree,Sometimes,Agree,Sometimes,,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,,Strongly Agree,Agree,Strongly Agree,
Business Administration (Co-op Option),Sometimes,Sometimes,Disagree,Disagree,Sometimes,Sometimes,Strongly Disagree,Strongly Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Strongly Disagree,Strongly Disagree,Sometimes,Sometimes,,Strongly Disagree,A picture of the finished item that I could imitate,Sometimes,Sometimes,Sometimes,Strongly Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Strongly Disagree,Sometimes,Disagree,Strongly Disagree,Strongly Agree,Sometimes,Disagree,Strongly Agree,Sometimes,Strongly Disagree,Disagree,Sometimes,Strongly Agree,Agree,Sometimes,Disagree,Sometimes,Sometimes,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Give them verbal directions,Disagree,Strongly Agree,Agree,I write it down two different ways and see which one looks right
Business - Accounting,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drawn diagrams of the assembly in progress so I could follow along,Agree,Agree,Sometimes,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Sometimes,Agree,Sometimes,Sometimes,Disagree,Agree,Sometimes,Sometimes,Sometimes,Agree,Agree,Sometimes,Disagree,Disagree,Strongly Disagree,Sometimes,Disagree,Sometimes,Sometimes,Disagree,Strongly Disagree,Sometimes,Agree,Draw them a map to follow,Agree,Agree,Agree,I think about the structure of the word and how it sounds to determine how to spell it
Business - Accounting,Agree,Agree,Agree,Sometimes,,Sometimes,,Agree,Disagree,Disagree,,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,,Agree,Sometimes,Sometimes,Strongly Agree,Disagree,Strongly Agree,Agree,Sometimes,Strongly Agree,Sometimes,Sometimes,Agree,Disagree,Strongly Agree,Strongly Agree,Sometimes,Disagree,Agree,,,Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,,Strongly Agree,Sometimes,Agree,
Business - Accounting,Strongly Disagree,Sometimes,Strongly Agree,Sometimes,Sometimes,Sometimes,Sometimes,Strongly Disagree,Sometimes,Sometimes,Strongly Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Strongly Agree,Sometimes,Strongly Disagree,Someone good at assembling the object to explain it to me,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Strongly Agree,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Sometimes,Sometimes,Sometimes,Strongly Disagree,Strongly Disagree,Sometimes,Sometimes,Strongly Disagree,Strongly Disagree,Sometimes,Sometimes,Strongly Disagree,Sometimes,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Sometimes,Give them verbal directions,Sometimes,Strongly Disagree,Sometimes,I imagine the word in my head and see how it looks
